Date,Link,Message
6/16/2023 7:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7075357460097622017,Congratulations Arpit Hattangadi 🎉
6/16/2023 2:26,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7075176387745058816,Congratulations  swanand Agarkar 🎉
6/12/2023 15:21,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7074009226922106880,Congratulations 🎉 Manav Savjani
6/11/2023 14:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7073595313474682881,Congratulations
6/10/2023 15:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7073248325822529536,Congratulations 🎉 Tara Gohil
6/10/2023 1:08,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7072932563081715712,"Congratulations 🎉 Vaibhav chourey, well deserved"
6/8/2023 3:24,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7072262821857607680,Congratulations Nirupama Bisla
6/7/2023 2:54,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7071739258532769792,Congratulations 🎉 Dhruvika Bhalu
6/6/2023 14:47,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7071793514321166336,Congratulations Bhavin Kundariya
6/4/2023 4:51,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7070787634008129536,Congratulations Nikhil Verma
6/3/2023 13:47,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7070740572042371072,Congratulations Hiral Vyas
5/16/2023 0:42,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7063949371725217792,Congratulations 🎉 Bharatkumar Patel
5/16/2023 0:42,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7063895283717332992,Congratulations! Kartik Naydu
5/15/2023 9:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7063798887878209536,Congratulations! Ramiz Shaikh
5/12/2023 1:23,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7062475269617459200,Congratulations Shreya Jaiswal
5/4/2023 13:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7059833208493764609,All the best for your future Endeavors😊 Sofija Mladenovic
5/3/2023 1:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7059307215672737792,Congratulations Ruchika Ganwani
5/2/2023 13:00,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7059110983583113218,Congratulations Nihar Sitapara
4/22/2023 5:59,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7055414217281011712,Congratulations Bharatkumar Patel you are your team deserve it.
4/18/2023 11:36,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7052472122580869121,Congratulations 🎉  Mayank Suthar
4/10/2023 8:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7051089516383617024,Congratulations Miral Shah
3/21/2023 10:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7041971114402586624,Congrats Shubhangi
3/19/2023 9:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7043127737628196864,Congratulations Nikita Mirchandani
2/20/2023 6:09,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7033306160367570944,Congratulations Nikita Patel
2/14/2023 3:27,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7030975236376281088,Congratulations Manav Savjani
12/15/2022 13:11,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7009026754006659073,Congratulations Sakshi Nyati
10/12/2022 6:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6985849105579143169,Congratulations Rohit Wani
10/11/2022 14:35,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6985605604476145664,Congratulations Shweta Ajay
10/10/2022 13:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6985163979950051328,Congratulations Mihir Beladiya
9/7/2022 12:42,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6973236980134359040,Congratulations Ankit Trivedi
9/2/2022 4:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6971304239427923968,Congratulate Krutarth Chovatiya
9/1/2022 7:09,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6970987529458061312,Good luck for the new role DHRUVESH TIWARI
8/29/2022 15:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6970016830216114176,Congratulation Deep Patel!
8/29/2022 14:40,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6970011504393764864,Congratulations & All the best for the new journey
8/17/2022 9:40,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6965305261225881600,Congratulations Devansh Vyas
