Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken)
Reflection Moment,"Use this template to list how you are currently, or could improve addressing each tier of your sustainability impacts.

URL: {provider={com.linkedin.learning.ProviderInfo={name=nielsenenterprise.sharepoint.com, url=https://nielsenenterprise.sharepoint.com/:b:/s/Diversity_Talent__Culture/EUFVkJhFH-tJlhmqOLZKyVoB0zoMFgNUibg1SJdiqvXyag?e=G422Qy}}, contentUrl=https://nielsenenterprise.sharepoint.com/:b:/s/Diversity_Talent__Culture/EUFVkJhFH-tJlhmqOLZKyVoB0zoMFgNUibg1SJdiqvXyag?e=G422Qy}",Custom Content,2023,2023-04-24 05:22 UTC,FALSE,N/A
Earth Week Learner's  Challenge Roadmap,"Our LinkedIn Learner's challenge will explore key sustainability concepts for our company!

URL: {provider={com.linkedin.learning.ProviderInfo={name=login.microsoftonline.com, url=login.microsoftonline.com}}, contentUrl=https://nielsenenterprise-my.sharepoint.com/:b:/g/personal/samantha_carrillo_nielseniq_com/EZ6SOka2ABhCuh89UQ2puDoBIW990vNjrVW4rdRm8tVI1w?e=p8x4sF, ingestedContent=urn:li:ingestedContent:8537001795814715155}",Custom Content,2023,2023-04-24 04:50 UTC,FALSE,N/A
"Agile Project Management with Jira Cloud: 1 Projects, Boards, and Issues","Get started with agile project management. Get an overview of agile and Jira, then practice creating and using project boards in both company-managed and team-managed versions of Jira Cloud. Learn how to create issues and subtasks, and explore techniques to make your logged issues more useful. Finally,  learn the value of the kanban method, and how to configure a kanban board.<br><br>Note: To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.",Course,2023,N/A,FALSE,N/A
MySQL for Non-Programmers,"These days, in nearly every field, data is king. More and more businesses are asking non-technical employees to generate data reports, and having a command of the tools used to accomplish these reporting tasks may either lead to new job opportunities or keep you from advancing in your career. In this course, Martine Moses teaches mySQL database basics, easing you into a familiarity with this popular relational database. She covers how it differentiates from other DBs, best use cases, and how to perform basic functions within mySQL. Whether you’re a non-programmer looking to expand your skill set, or looking to move into the tech realm, this course gives you a groundwork to learn more about mySQL and using databases in general.",Course,2022,N/A,FALSE,N/A
Microsoft Lists: First Look,"Microsoft Lists isn't your ordinary list-making app. This powerful information tracking app in Microsoft 365 (formerly Office 365) stores multiple pieces of information about each item on a list, and allows you to view that information in specific, useful ways. Lists can help your team stay on task and organized with product inventories, bug trackers, detailed event schedules, and much more. This short course was designed to help you get up to speed with Lists. Instructor Nick Brazzi shows how to create a list from scratch or from a predesigned template. He then explains how to edit your newly created list, change the layout and create new custom views (including a calendar view), and share lists across your organization. And since Microsoft Lists integrates with Microsoft Teams, Nick also shows how to build and collaborate on your lists in Teams.",Course,2022,2022-06-08 08:23 UTC,FALSE,N/A
Data-Driven Presentations with Excel and PowerPoint (365/2019),"Learn how to create high-impact, data-rich presentations using PowerPoint and Excel together. Follow along with Gini von Courter as she shows how to create presentations that are easy to use, easy to understand, and—best of all—easy to update. It all starts in Excel. Gini begins with an example spreadsheet featuring typical business data. She uses conditional formatting to highlight important information, PivotTables to summarize data, and sparklines and charts to create illustrations. She also shows how to use several different methods, including copying and pasting, linking, and embedding, to import your work into PowerPoint. She then demonstrates how to use PowerPoint animation features to animate Excel charts and tables and focus the viewer's attention. If you've wondered how to create expressive but low-maintenance presentations to showcase your data—no matter how often it changes—this course is for you.",Course,2023,N/A,FALSE,N/A
SQL Essential Training,"The ubiquity of big data means that now, more than ever, there is a burning need to warehouse, access, and understand the contents of massive databases quickly and efficiently. Attaining proficiency in SQL is essential to prepare for our data-driven present and future. It is also crucial to furthering your skills as a data analyst or application developer. In this course, Walter Shields teaches you: the basic structure of databases—what they are, how they work, and how to successfully navigate them; how to use SQL to retrieve and understand data no matter the scale of a database; and how to master the most important SQL query syntax, along with how and when to use it best.",Course,2023,N/A,FALSE,N/A
Communicating with Confidence,"Most people are afraid of speaking in public, but effective oral communication is a key skill in business. Jeff Ansell provides simple communication tools, strategies, and tips that are easy to use and produce immediate results. He'll help you sound more confident, use body and language to better express ideas, and overcome anxiety. In the last chapter of the course, all these concepts are brought together in two real-world coaching exercises that will help you see the techniques in action.",Course,2022,N/A,FALSE,N/A
Excel: Tips and Tricks (2018),"Want to take your Excel game to the next level? In this course, veteran Excel trainer and instructor Dennis Taylor shares powerful tips, tricks, and shortcuts that can help you leverage more of what Excel has to offer. Learn time-saving tricks for creating formulas rapidly, accelerating data entry, and navigating within worksheets efficiently. Plus, discover drag and drop techniques, formatting shortcuts, charting and PivotTable tips, and much more.</br></br>

Note: This course was recorded on Excel for Office 365; however, most of the contents will benefit anyone using Office 2019 or 2016.",Course,2022,N/A,FALSE,N/A
SketchUp Pro Lunchtime Lessons,"Want to work smarter in SketchUp Pro? In this weekly series, instructor Rebecca Terpstra shares tips designed to help users enhance their SketchUp skills in their spare time. Rebecca offers her expert take on how to create precision-based models for your architectural and interior designs with this powerful 3D modeling application. Discover how to use the Paste in Place function to quickly and accurately group objects that belong together, use scenes effectively, make a variety of shapes using the Circle tool, and much more. Tune in every Monday for a new tip.",Course,2022,N/A,FALSE,N/A
