Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2023-04-21 06:27:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7055064379230175232, Mayank Suthar #kudos Thank you Thank you for leading by example! #inspirationalleader ,,,MEMBER_NETWORK
2023-04-13 10:22:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7052224606513807360,Just finished the course “Excel: Dashboards for Beginners” by Jordan Goldmeier! Check it out: https://lnkd.in/d7Tr8CdV #exceldashboards.,,,MEMBER_NETWORK
2023-02-27 06:06:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7035852678278656000,Just finished the course “Programming Foundations: Databases” by Scott Simpson! Check it out: https://lnkd.in/dtkRGPRk #databasedevelopment.,,,MEMBER_NETWORK
2023-02-24 07:40:42,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7034789189367808000,Just finished the course “Software Testing: Alpha Testing in an Agile World” by Mike Fine! Check it out: https://lnkd.in/dJzTRNVc #softwaretesting.,,,MEMBER_NETWORK
2023-02-15 06:43:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7031513268078665729,Just finished the course “Software Testing Foundations: Test Techniques” by Mike Fine! Check it out: https://lnkd.in/dm249VzT #softwaretesting.,,,MEMBER_NETWORK
2023-02-05 06:00:20,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7027878560254050304,Just finished the course “Power BI: Dashboards for Beginners” by Joshua Rischin! Check it out: https://lnkd.in/dzvQrgTw #microsoftpowerbi.,,,MEMBER_NETWORK
2022-10-07 05:05:16,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6984015771924348928,Just finished the course “Root Cause Analysis: Getting to the Root of Business Problems” by Sam Yankelevitch! Check it out: https://lnkd.in/dqCM8EUU #businessanalysis #rootcauseanalysis.,,,MEMBER_NETWORK
2022-09-14 04:08:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6975666469833441280,Just finished the course “Six Sigma: White Belt” by Tina Agustiady! Check it out: https://lnkd.in/dhnh9_4n #sixsigma.,,,MEMBER_NETWORK
2022-08-09 05:04:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6962634740650655744,Just finished the course “Lean Six Sigma: Define and Measure Tools” by Dr. Richard Chua! Check it out: https://lnkd.in/dXYx3S4p #leansixsigma.,,,MEMBER_NETWORK
2022-07-14 05:39:01,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6953221296755261440,"Being told you’re appreciated is one of the simplest and most uplifting things you can hear.""
""""
""I am delighted to share that I have received NOC Star of the month Award for the month of June.""
""""
""Thank you so much for recognizing our efforts☺️  Jaimin P.  Pallavi Pradhan""
""""
""Thank you Mayank Suthar for always motivating me😄 & a special thanks to all my team members Pawan Dave DHRUVESH TIWARI Rahul Rajput Sonali Das Heena Jangid for always supporting me and having my back☺️""
""""
""Very excited to keep learning at NielsenIQ and continue with new challenges.""
""""
""#nielseniq #thankyou #appreciation #nocstar #MINOC",,,MEMBER_NETWORK
